,Tax Year Of Termination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,4.4,7.4,12.7,17.9,22.8,30.6,35.8,41.6,46.7,52.3,58.5,63.9,70.7,77.8,83.3,85.5,89.8,93.2,96.7,98.5,101.4,105.5,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,2.8,8.0,12.9,17.6,25.1,30.1,35.7,40.5,45.9,51.9,57.0,63.5,70.3,75.6,77.7,81.8,85.1,88.4,90.1,93.0,96.8,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,5.0,9.8,14.1,21.7,26.5,32.0,36.7,41.9,47.7,52.7,59.0,65.7,70.8,72.9,76.8,80.0,83.3,84.9,87.7,91.4,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,4.6,9.4,15.9,20.5,25.7,30.2,35.1,40.7,45.5,51.4,57.8,62.7,64.6,68.4,71.5,74.5,76.1,78.8,82.3,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,4.2,10.8,15.2,20.1,24.5,29.2,34.5,39.1,44.8,50.9,55.5,57.4,61.0,63.9,66.9,68.4,70.9,74.3,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,6.3,10.6,15.3,19.5,24.0,29.1,33.5,38.9,44.8,49.3,51.1,54.5,57.3,60.1,61.6,64.0,67.3,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,4.0,8.5,12.4,16.6,21.4,25.6,30.7,36.2,40.4,42.1,45.4,48.0,50.7,52.0,54.3,57.4,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,4.3,8.1,12.2,16.8,20.7,25.7,31.0,35.0,36.6,39.8,42.3,44.9,46.2,48.4,51.3,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,3.6,7.5,11.9,15.8,20.5,25.6,29.5,31.0,34.0,36.4,38.9,40.1,42.2,45.1,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,8.1,11.7,16.3,21.2,25.0,26.5,29.4,31.7,34.1,35.3,37.3,40.0,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,7.6,12.1,16.8,20.4,21.8,24.6,26.9,29.2,30.3,32.3,34.9,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,7.6,12.2,15.6,17.0,19.7,21.9,24.1,25.2,27.1,29.6,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,8.5,11.8,13.2,15.8,17.9,20.0,21.1,22.9,25.3,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,7.4,8.7,11.2,13.2,15.3,16.3,18.0,20.4,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,4.3,6.7,8.7,10.6,11.6,13.3,15.5,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,3.5,5.4,7.3,8.3,9.9,12.1,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,4.1,6.0,7.0,8.6,10.7,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,3.6,4.6,6.1,8.3,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,2.7,4.3,6.3,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,2.4,4.5,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,3.5,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
